info @storybook/react v6.4.18
info 
info => Cleaning outputDir: /tmp/chromatic--6523-7h3Kklk0z3Jf
info => Loading presets
info => Copying static files: /home/gohan/react/taskbox/public at /tmp/chromatic--6523-7h3Kklk0z3Jf/
info => Compiling manager..
info => Compiling preview..
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /home/gohan/react/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js /home/gohan/react/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/globals.js /home/gohan/react/taskbox/storybook-init-framework-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/react/dist/esm/client/preview/config-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/addDecorator.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-outline/dist/esm/preset/addDecorator.js-generated-config-entry.js /home/gohan/react/taskbox/node_modules/@storybook/addon-interactions/dist/esm/preset/argsEnhancers.js-generated-config-entry.js /home/gohan/react/taskbox/.storybook/preview.js-generated-config-entry.js /home/gohan/react/taskbox/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 10% building 1/2 modules 1 active /home/gohan/react/taskbox/storybook-init-framework-entry.js
<s> [webpack.Progress] 10% building 2/2 modules 0 active 
<s> [webpack.Progress] 10% building 2/3 modules 1 active /home/gohan/react/taskbox/generated-stories-entry.js
<s> [webpack.Progress] 10% building 3/3 modules 0 active 
<s> [webpack.Progress] 10% building 3/4 modules 1 active /home/gohan/react/taskbox/src/components sync /^\.(?:(?:^|\/|(?:(?:(?!(?:^|\/)\.).)*?)\/)(?!\.)(?=.)[^/]*?\.stories\.js)$/
<s> [webpack.Progress] 10% building 4/4 modules 0 active 
<s> [webpack.Progress] 10% building 4/5 modules 1 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/.storybook/preview.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/6 modules 2 active /home/gohan/react/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/7 modules 3 active /home/gohan/react/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/8 modules 4 active /home/gohan/react/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/9 modules 5 active /home/gohan/react/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/10 modules 6 active /home/gohan/react/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/11 modules 7 active /home/gohan/react/taskbox/node_modules/@storybook/addon-outline/dist/esm/preset/addDecorator.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/12 modules 8 active /home/gohan/react/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/addDecorator.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/13 modules 9 active /home/gohan/react/taskbox/node_modules/@storybook/addon-interactions/dist/esm/preset/argsEnhancers.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/14 modules 10 active /home/gohan/react/taskbox/node_modules/@storybook/react/dist/esm/client/preview/config-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/15 modules 11 active /home/gohan/react/taskbox/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 10% building 4/16 modules 12 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 4/17 modules 13 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 5/17 modules 12 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 6/17 modules 11 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 7/17 modules 10 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 10% building 8/17 modules 9 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 9/17 modules 8 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 10/17 modules 7 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 11/17 modules 6 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 12/17 modules 5 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 13/17 modules 4 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 14/17 modules 3 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 15/17 modules 2 active /home/gohan/react/taskbox/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 11% building 16/17 modules 1 active /home/gohan/react/taskbox/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 11% building 16/18 modules 2 active /home/gohan/react/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js
<s> [webpack.Progress] 11% building 16/19 modules 3 active /home/gohan/react/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/globals.js
<s> [webpack.Progress] 11% building 16/20 modules 4 active /home/gohan/react/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/21 modules 5 active /home/gohan/react/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/22 modules 6 active /home/gohan/react/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js
<s> [webpack.Progress] 11% building 16/23 modules 7 active /home/gohan/react/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/24 modules 8 active /home/gohan/react/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js
<s> [webpack.Progress] 11% building 16/25 modules 9 active /home/gohan/react/taskbox/node_modules/@storybook/addon-outline/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/26 modules 10 active /home/gohan/react/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/addDecorator.js
<s> [webpack.Progress] 11% building 16/27 modules 11 active /home/gohan/react/taskbox/node_modules/@storybook/addon-interactions/dist/esm/preset/argsEnhancers.js
<s> [webpack.Progress] 11% building 16/28 modules 12 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js
<s> [webpack.Progress] 11% building 16/29 modules 13 active /home/gohan/react/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js
<s> [webpack.Progress] 11% building 16/30 modules 14 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/.storybook/preview.js
<s> [webpack.Progress] 12% building 17/30 modules 13 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/.storybook/preview.js
<s> [webpack.Progress] 12% building 17/31 modules 14 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/home/gohan/react/taskbox/src/components/InboxScreen.stories.js
<s> [webpack.Progress] 12% building 17/32 modules 15 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/home/gohan/react/taskbox/src/components/Task.stories.js
<s> [webpack.Progress] 12% building 17/33 modules 16 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/home/gohan/react/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 18/33 modules 15 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/home/gohan/react/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 19/33 modules 14 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/home/gohan/react/taskbox/src/components/TaskList.stories.js
<s> [webpack.Progress] 12% building 20/33 modules 13 active /home/gohan/react/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/home/gohan/react/taskbox/node_modules/@storybook/source-loader/dist/cjs/index.js??ref--7!/home/gohan/react/taskbox/src/components/TaskList.stories.js
